label,text
non_real_time_crisis,"#earthquake Magnitude 2.1 occurred 159km NE of Cape Yakataga, Alaska 2017-08-01T01:12:02.427Z UTC #didyoufeelit? https://t.co/LUf6LH4P61"
non_real_time_crisis,"Retweeted Earthquakes Tsunamis (@NewEarthquake):  5.0 earthquake, 45km SE of Adak, Alaska. 2017-07-31 19:00:26 at... https://t.co/hKiFqg3E4R"
non_real_time_crisis,I always know I need to go shopping when I've eaten all my earthquake supplies and the last quake was a 2.0
non_real_time_crisis,Update: M2.0 #earthquake (#sismo) strikes 1 km SW of #PÄ
non_real_time_crisis,ã€
non_real_time_crisis,i deadass want this in my bedroom but if a earthquake happens and i'm in my bed i'm fucked https://t.co/cSiOLcKdP5
non_real_time_crisis,"#earthquake (USGS) https://t.co/ifDmBNb7Vf: M 2.9 - 34km NW of Fairview, Oklahoma https://t.co/pWWulXDZxe"
non_real_time_crisis,"7-31-17: 5.3 magnitude earthquake hits near Palaiochora, Greece https://t.co/hFe0pwOPf0"
non_real_time_crisis,"USGS reports a M0.94 #earthquake 16km SE of Mammoth Lakes, California on 8/1/17 @ 8:14:59 UTC https://t.co/R433Fo5zen #quake"
non_real_time_crisis,Beavis the bum lost a trailer home and then fell asleep before waking up to an earthquake
non_real_time_crisis,Effects of 3.9 magnitude earthquake north east of #Niguelas felt in various parts of #Granada province early this mâ€¦ https://t.co/HcqCk5dtcE
non_real_time_crisis,Shallow 5.3 magnitude earthquake strikes off Crete https://t.co/ZJXzM4T81c
non_real_time_crisis,USGS reports a M1.2 #earthquake Southern Alaska on 8/1/17 @ 8:18:06 UTC https://t.co/7eqTDkYfkR #quake
non_real_time_crisis,"1.48 earthquake occurred 16km SE of Mammoth Lakes, California at 08:17 UTC! #earthquake #MammothLakes https://t.co/CkzRVip88g"
non_real_time_crisis,"Green earthquake alert (Magnitude 5.6M, Depth:85.07km) in Argentina 01/08/2017 06:13 UTC, About 9322 people withinâ€¦ https://t.co/lAjS5JdL2R"
non_real_time_crisis,USGS reports a M1.33 #earthquake Northern California on 8/1/17 @ 8:25:20 UTC https://t.co/RszaswYc1V #quake
non_real_time_crisis,2.1 earthquake close to Greece at 08:00 UTC! #earthquake #Greece https://t.co/jb56NDvJdG
non_real_time_crisis,"1.33 earthquake occurred 6km NW of The Geysers, California at 08:25 UTC! #earthquake #TheGeysers https://t.co/6gJHDJicei"
non_real_time_crisis,"5.6 earthquake, 53km WNW of Vinchina, Argentina. 2017-08-01 03:13:53 at epicenter (21m ago, depth 85km). â€¦â€¦ https://t.co/4a4IIFYx9F"
non_real_time_crisis,"#earthquake Magnitude 1.4 occurred 140km WNW of Haines Junction, Canada 2017-08-01T01:28:42.483Z UTC #didyoufeelit? https://t.co/Jthn5hancV"
non_real_time_crisis,"So we can assume that we are able to cause artificial earthquakes, interesting. https://t.co/924Y5cdYxd"
non_real_time_crisis,"#earthquake Magnitude 2.09 occurred 17km SSE of Bodfish, CA 2017-08-01T01:29:30.180Z UTC #didyoufeelit? https://t.co/vZ0GRaV8kU"
non_real_time_crisis,"Sped up, it's a bit like a fireworks display to see the flashes around the world that represent every earthquake foâ€¦ https://t.co/zzdX4N9vBB"
non_real_time_crisis,"#earthquake Magnitude 1.06 occurred 4km ENE of San Antonio Heights, California #didyoufeelit? https://t.co/IEAwPrp5kY"
non_real_time_crisis,"#earthquake Magnitude 1.06 occurred 4km ENE of San Antonio Heights, California #didyoufeelit? https://t.co/IEAwPrp5kY"
non_real_time_crisis,"#earthquake Magnitude 0.87 occurred 0km NE of The Geysers, California 2017-08-01T01:36:52.320Z UTC #didyoufeelit? https://t.co/lriajOx9PV"
non_real_time_crisis,"Past and present earthquakes in the Sisian, Armenia area https://t.co/ITk248h5Ho via Earthquake-Report"
non_real_time_crisis,"USGS reports a M0.94 #earthquake 16km SE of Mammoth Lakes, California on 8/1/17  8:14:59 UTC  #quake"
non_real_time_crisis,#Terremoti nel #Mondo ML 2.1  DODECANESE IS.-TURKEY BORDER REG https://t.co/cpxam7tNXF #Terremoto #earthquake by emsc
non_real_time_crisis,Got that quick dip crayon earthquake jet pack on a bun Locomotive supernova Spanish Harlem sun (yeah)...
non_real_time_crisis,"#ok #earthquake located apprx. 21 miles NW of Fairview, Oklahoma at 2:42am.   Prelim mag of 2.9 from #USGS&gt;"
non_real_time_crisis,"After earthquake: Check yourself for injuries and get First Aid, if necessary, before helping injured or trapped persons"
non_real_time_crisis,The unknown connection between cosmic rays fall and earthquakes ? https://t.co/t6Yi5LuQ1i https://t.co/BGyH5RQqo2 https://t.co/QiWUtCeKQe
non_real_time_crisis,Probably earth quake weather
non_real_time_crisis,The latest yakfest gazette! https://t.co/ydUWlUmIVH Thanks to @ChimeAdvisors @asso_libratoi @larryqqueen #earthquake #tech
non_real_time_crisis,2.34 earthquake occurred near New Zealand at 08:55 UTC! #earthquake #NewZealand https://t.co/lQ1e3lz8ma
non_real_time_crisis,"USGS reports a M2.1 #earthquake 77km NNW of Talkeetna, Alaska on 8/1/17 @ 8:53:34 UTC https://t.co/NVgvJASo1L #quake"
non_real_time_crisis,David says the LB lair is underground due to an earthquake - 2 years after filming an earthquake destroyed most of the filming locations.
non_real_time_crisis,My discord server is dying so Imma just put another earthquake.
non_real_time_crisis,"2.1 earthquake occurred 77km NNW of Talkeetna, Alaska at 08:53 UTC! #earthquake #Talkeetna https://t.co/i5Xao2I3ej"
non_real_time_crisis,The latest The Earthquake &amp; Disaster Daily! https://t.co/i1lhbXnsDH Thanks to @SMS_Tsunami @roysketexov1972 @piccavey #earthquake #quake
non_real_time_crisis,"During earthquake: If you are in a mountainous area or near unstable slopes or cliffs, be alert for falling rocks and other debris"
non_real_time_crisis,This is earthquake weather..
non_real_time_crisis,I sense an earthquake folks
non_real_time_crisis,This is the 14th felt #earthquake in Dodecanese Is.-Turkey Border Reg in the last 59 hours https://t.co/wPtMW5ND1t
non_real_time_crisis,Mass-wood CLT building survives earthquake test https://t.co/LAlVZgU4S6 [via @WoodworkingBiz] #timber #CLT #construction #earthquakes
non_real_time_crisis,Wait for that earthquake
non_real_time_crisis,Fewer than 34 multi-storey New Zealand buildings meet earthquake restraints standards https://t.co/2tLq3aldtO
non_real_time_crisis,M3.1 #earthquake (#deprem) strikes 12 km SE of #Bodrum (#Turkey) 9 min ago. Read witnesses' stories &amp; share yours: https://t.co/VGAdObkYIV
non_real_time_crisis,"1.31 earthquake occurred 8km SSE of Mammoth Lakes, California at 09:09 UTC! #earthquake #MammothLakes https://t.co/sukE4jtfx3"
non_real_time_crisis,Shallow 5.3 magnitude earthquake strikes off Crete https://t.co/pmor406s3Q
non_real_time_crisis,"USGS reports a M5 #earthquake 40km SSE of Taron, Papua New Guinea on 8/1/17 @ 8:54:48 UTC https://t.co/iXqJDwwpr2 #quake"
non_real_time_crisis,"Magnitude 0.76 earthquake 9km WNW of Cobb, California https://t.co/iv7oKHKISm"
non_real_time_crisis,Baby Bali earthquake bumps Bangli and Buleleng - Coconuts https://t.co/Q6AyfpkSoC #bangli #balitoday
non_real_time_crisis,Shake it like an earthquake. #ruebot
non_real_time_crisis,"Magnitude 0.94 earthquake 16km SE of Mammoth Lakes, California https://t.co/GIj1LNAu8h"
non_real_time_crisis,"Past and present earthquakes in the Tatev, Armenia area https://t.co/VRsiFmdjXI via Earthquake-Report"
non_real_time_crisis,Are we listening?... And after the earthquake a fire; but the LORD was not in the fire: &amp; after the fire a still small voice. 1 Kings 19:12
non_real_time_crisis,You will have to believe! Message of 26.07.17 on earthquake in Turkey- corretion 2016 to2017.
non_real_time_crisis,"#growingupincalifornia everyone has a ""my first earthquake"" story"
non_real_time_crisis,"smut on tls reminds me of the smut confession about someone going ""fucks you like an earthquake shake shake shake""."
non_real_time_crisis,Here comes another chinese earthquake brbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbrbr #KC_bot
non_real_time_crisis,earthquake shake shake
non_real_time_crisis,"0.7 earthquake occurred 6km NNW of Verdi, Nevada at 09:26 UTC! #earthquake #Verdi https://t.co/TRwNuxcAV7"
non_real_time_crisis,I had a dream that there was a big ASSSS FLOOD and we were literally flooded af and this is earthquake weather and we're on the fault
non_real_time_crisis,here comes the earthquake post
non_real_time_crisis,I love having a heart attack from an earthquake
non_real_time_crisis,who let that earthquake?
non_real_time_crisis,And let the earthquake tweets begin
non_real_time_crisis,ew my dad just farted SO loud.. #earthquake
non_real_time_crisis,earthquake reminded me of you
non_real_time_crisis,phone thick gadda or blankets.kindly think on this millions of life would be saved.and will live a life tensionfully even the earth quake
non_real_time_crisis,"Here comes the tweets about people tweeting ""here comes the earthquake tweets"" "
non_real_time_crisis,"Not gonna lie, being from the midwest, I would take a tornado warning over an earthquake any day of the week."
non_real_time_crisis,Buckle up for the earthquake tweets
non_real_time_crisis,confess your love to me now or forever hold ur peace bc y'all talkin about earthquake weather so ya dms open
non_real_time_crisis,"4.0 magnitude #earthquake. 7 km from Houston, #AK, United States https://t.co/cYqvEljU31"
non_real_time_crisis,@Jasonbr52158545 I'm waiting for that much awaited earth quake see ya
non_real_time_crisis,"I hope we don't have an earthquake, nigga my job not built for that and if something fall on me I'm suing mother earth"
non_real_time_crisis,"Magnitude 1.34 earthquake 6km W of Cobb, California https://t.co/ZvPXgO72ZS"
non_real_time_crisis,See! And there was so much worry about Calif. falling in the ocean because of an earthquake?
non_real_time_crisis,Let me find out there's bout to be an earthquake  
non_real_time_crisis,#earthquake EQless is the languagâ€¦. People are fit for public life.
non_real_time_crisis,this weather is my fave but also..... earthquake weather #watchout
non_real_time_crisis,""" earthquake weather ""   Me : https://t.co/pyhyVMTLOL"
non_real_time_crisis,He thought it was an earthquake but he heard a ... moad coming from those two. His room mate and the girlfriend
non_real_time_crisis,"1.6 magnitude #earthquake. 8 km from #Valencia, #CA, United States https://t.co/U0zMCZDvW0"
non_real_time_crisis,"Magnitude 1.2 earthquake 36km N of New Allakaket, Alaska https://t.co/O4fE1wGeZy"
non_real_time_crisis,I'm surprised we still haven't had a earthquake this summer 
non_real_time_crisis,The latest Earthquake Magazine! https://t.co/OiKpM4zQ1v Thanks to @foquoscom @yorito_ito @QuakeMaps #earthquake #quake
real_time_crisis,I was wondering why the room was shaking when I was trying to sleep ... I found out it was an earthquake. I bring disasters with me
non_real_time_crisis,If there's gonna be an earthquake please happen now so I can go home early 
non_real_time_crisis,"This earthquake weather's giving me anxiety, man."
real_time_crisis,Another earthquake woke me up at the night. Not a big pleasure.
non_real_time_crisis,bro.... this is straight earthquake weather 
